Performance Statistics   2020-01-28 21:56:00 - 2020-01-28 21:58:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
login#afterShow                                          0,0           0           0         0,0           1
login#beforeShow                                        11,0          11          11         0,0           1
login#create                                           206,0         206         206         0,0           1
login#init                                             110,0         110         110         0,0           1
login#inject                                           190,0         190         190         0,0           1
login#load                                             982,0         982         982         0,0           1
login#uiPermissions                                      0,0           0           0         0,0           1
login#xml                                                9,0           9           9         0,0           1
main#afterShow                                           8,0           8           8         0,0           1
main#beforeShow                                          0,0           0           0         0,0           1
main#create                                             14,0          14          14         0,0           1
main#init                                               31,0          31          31         0,0           1
main#inject                                             11,0          11          11         0,0           1
main#load                                              234,0         234         234         0,0           1
main#uiPermissions                                       0,0           0           0         0,0           1
main#xml                                                 2,0           2           2         0,0           1

Performance Statistics   2020-01-28 21:58:00 - 2020-01-28 22:00:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.entityInspector.browse                        101,0         101         101         0,0           1
MenuItem.sys$ScheduledTask.browse                     2035,0        2035        2035         0,0           1
MenuItem.sys$SendingMessage.browse                     454,0         454         454         0,0           1
editWindowActions#create                                14,0          14          14         0,0           1
editWindowActions#xml                                    0,5           0           1         0,5           2
entityInspector.browse#afterShow                         0,0           0           0         0,0           1
entityInspector.browse#beforeShow                        0,0           0           0         0,0           1
entityInspector.browse#companion                         7,0           7           7         0,0           1
entityInspector.browse#create                            2,0           2           2         0,0           1
entityInspector.browse#init                             31,0          31          31         0,0           1
entityInspector.browse#inject                            7,0           7           7         0,0           1
entityInspector.browse#load                             12,0          12          12         0,0           1
entityInspector.browse#uiPermissions                     0,0           0           0         0,0           1
entityInspector.browse#xml                              10,5           0          21        10,5           2
entityInspector.browse.lookupWindowActions#init          0,0           0           0         0,0           1
entityInspector.browse@entitiesDs                       13,5          12          15         1,5           2
lookupWindowActions#create                               0,0           0           0         0,0           2
lookupWindowActions#inject                               0,0           0           0         0,0           2
lookupWindowActions#load                                 1,0           0           2         1,0           2
lookupWindowActions#xml                                  0,5           0           2         0,9           4
sec$User.lookup#afterShow                                0,0           0           0         0,0           1
sec$User.lookup#beforeShow                               1,0           1           1         0,0           1
sec$User.lookup#create                                   3,0           3           3         0,0           1
sec$User.lookup#init                                     2,0           2           2         0,0           1
sec$User.lookup#inject                                  21,0          21          21         0,0           1
sec$User.lookup#load                                    29,0          29          29         0,0           1
sec$User.lookup#uiPermissions                            0,0           0           0         0,0           1
sec$User.lookup#xml                                      5,0           0          25        10,0           5
sec$User.lookup.lookupWindowActions#init                 0,0           0           0         0,0           1
sec$User.lookup@usersDs                                101,0         101         101         0,0           1
sys$ScheduledExecution.browse#afterShow                  0,0           0           0         0,0           1
sys$ScheduledExecution.browse#beforeShow                 6,0           6           6         0,0           1
sys$ScheduledExecution.browse#create                     0,0           0           0         0,0           1
sys$ScheduledExecution.browse#init                       1,0           1           1         0,0           1
sys$ScheduledExecution.browse#inject                     6,0           6           6         0,0           1
sys$ScheduledExecution.browse#load                      18,0          18          18         0,0           1
sys$ScheduledExecution.browse#uiPermissions              0,0           0           0         0,0           1
sys$ScheduledExecution.browse#xml                        0,6           0           3         1,2           5
sys$ScheduledExecution.browse@executionsDs              36,3          10          86        35,1           3
sys$ScheduledTask.browse#afterShow                       0,0           0           0         0,0           1
